Priority,Category,Topic,Sub-Topic,Sub-Sub-Topic / Granular Depth Point
1,AI Productivity,AI SDLC,Refactoring,Using AI to identify Big-O complexity in nested loops
1,AI Productivity,AI SDLC,Testing,Prompting for 'Boundary Value Analysis' test cases
1,AI Productivity,AI SDLC,Testing,Generating 'Fuzz Testing' inputs via LLM
1,AI Productivity,AI SDLC,Verification,Differential Testing (Comparing AI output vs Legacy output)
1,AI Productivity,AI SDLC,Verification,Property-based testing generation (Hypothesis/Gopter)
1,AI Productivity,AI SDLC,Security,Detecting AI 'Hallucinations' in cryptographical code
1,AI Productivity,AI SDLC,Security,Identifying PII leaks in code snippets sent to LLMs
1,AI Productivity,AI SDLC,Workflow,Context Window Management (Chunking files for AI review)
1,Distributed Systems,Databases,B-Tree,Internal vs Leaf Nodes and Pointer chasing
1,Distributed Systems,Databases,B-Tree,B-Tree depth and its impact on Disk I/O
1,Distributed Systems,Databases,LSM-Trees,SSTables and Memtables (Log-Structured Merge)
1,Distributed Systems,Databases,LSM-Trees,Write Amplification vs Read Amplification
1,Distributed Systems,Databases,LSM-Trees,Bloom Filters for reducing unnecessary Disk lookups
1,Distributed Systems,Databases,Transactions,WAL (Write-Ahead Logging) and Durability
1,Distributed Systems,Databases,Transactions,MVCC (Multi-Version Concurrency Control)
1,Distributed Systems,Databases,Isolation,Dirty Reads vs Non-repeatable Reads vs Phantoms
1,Distributed Systems,Databases,Isolation,Write Skew in Snapshot Isolation
1,Distributed Systems,Databases,Isolation,Two-Phase Locking (2PL) vs Optimistic Concurrency
1,Distributed Systems,Databases,Indexing,Clustered vs Non-Clustered Indexes
1,Distributed Systems,Databases,Indexing,Composite Indexes and the 'Leftmost Prefix' rule
1,Distributed Systems,Databases,Indexing,Index Bloat and 'Vacuuming' in Postgres
1,Distributed Systems,Databases,NoSQL,Consistent Hashing and the Ring Architecture
1,Distributed Systems,Databases,NoSQL,Virtual Nodes and data skew prevention
1,Distributed Systems,Databases,NoSQL,Quorum consistency (R + W > N)
1,Distributed Systems,Databases,NoSQL,Gossip Protocol for node membership
2,Distributed Systems,Messaging,Kafka,The Log-Append storage model
2,Distributed Systems,Messaging,Kafka,Zero-Copy data transfer (mmap and sendfile)
2,Distributed Systems,Messaging,Kafka,Partitioning and Consumer Group Rebalancing
2,Distributed Systems,Messaging,Kafka,Incremental Cooperative Rebalancing
2,Distributed Systems,Messaging,Kafka,Log Compaction and the Cleaner thread
2,Distributed Systems,Messaging,Kafka,ISR (In-Sync Replicas) and High Watermarks
2,Distributed Systems,Messaging,Kafka,Exactly-Once Semantics (EOS) and Transactions
2,Distributed Systems,Messaging,Kafka,The Controller Node and Leader Election
2,Distributed Systems,Caching,Strategies,Cache-Aside vs Write-Through vs Write-Back
2,Distributed Systems,Caching,Invalidation,TTL-based vs Event-driven invalidation
2,Distributed Systems,Caching,Anomalies,Cache Stampede (Thundering Herd) and Leases
2,Distributed Systems,Caching,Anomalies,Cache Penetration (Bloom Filter solution)
2,Distributed Systems,Caching,Anomalies,Cache Avalanche (Jitter solution)
2,Distributed Systems,Scaling,Availability,Circuit Breakers (Open, Closed, Half-Open states)
2,Distributed Systems,Scaling,Availability,Retries with Exponential Backoff and Jitter
2,Distributed Systems,Scaling,Availability,Rate Limiting: Token Bucket vs Leaky Bucket
2,Distributed Systems,Scaling,Consistency,Eventual Consistency vs Strong Consistency
2,Distributed Systems,Scaling,Consistency,The CAP Theorem: Choosing CP vs AP in failure
2,Distributed Systems,Scaling,Consistency,PACELC Theorem (Latency vs Consistency)
2,Networking,Protocols,TCP,The 3-way Handshake and 4-way Teardown
2,Networking,Protocols,TCP,Slow Start and Congestion Window (CWND)
2,Networking,Protocols,TCP,Head-of-Line (HOL) Blocking in TCP streams
2,Networking,Protocols,HTTP,HTTP/1.1 Pipelining vs HTTP/2 Multiplexing
2,Networking,Protocols,HTTP,Binary Framing Layer in HTTP/2
2,Networking,Protocols,HTTP,QUIC and HTTP/3 (UDP-based streams)
2,Networking,Protocols,gRPC,Protobuf Encoding: Varints and Field Tags
2,Networking,Protocols,gRPC,Unary vs Server Streaming vs Client Streaming vs Bi-di
2,Networking,TLS,Handshake,TLS 1.2 vs 1.3 (0-RTT Handshake)
2,Networking,TLS,Certificates,CA Chain, Root Certs, and OCSP Stapling
2,Networking,L4 vs L7,Load Balancing,Connection Splitting and SSL Termination
2,Networking,L4 vs L7,Load Balancing,Weighted Round Robin vs Least Connections
2,Infrastructure,Containers,Docker,Linux Namespaces (PID, Net, Mount, UTS)
2,Infrastructure,Containers,Docker,Control Groups (Cgroups) and resource limits
2,Infrastructure,Containers,Docker,UnionFS and Layered Storage (Copy-on-Write)
2,Infrastructure,K8s,Components,Kube-apiserver, etcd, and the Controller Manager
2,Infrastructure,K8s,Scheduling,Taints, Tolerations, and Node Affinity
2,Infrastructure,K8s,Networking,The Pod Network (CNI) and Service Proxy (IPtables/IPVS)
2,Infrastructure,K8s,Lifecycle,Pod Readiness vs Liveness vs Startup Probes
2,Infrastructure,K8s,Storage,Persistent Volumes (PV) and Claims (PVC)
2,Infrastructure,IaC,Terraform,Provider State Management and Locking
2,Infrastructure,IaC,Terraform,Resource Dependency Graph and Parallelism
2,Security,Auth,JWT,JWS (Signature) vs JWE (Encryption)
2,Security,Auth,JWT,Stateless Revocation: Blacklists vs Short TTLs
2,Security,Auth,OAuth2,Authorization Code Flow with PKCE
2,Security,Auth,OAuth2,Refresh Token Rotation and Security
2,Security,AppSec,OWASP,SQL Injection and Prepared Statements
2,Security,AppSec,OWASP,SSRF (Server-Side Request Forgery) and Metadata APIs
2,Security,AppSec,OWASP,IDOR (Insecure Direct Object Reference)
2,Security,Encryption,Symmetric,AES-GCM (Authenticated Encryption)
2,Security,Encryption,Asymmetric,RSA vs Elliptic Curve (ECDSA)
2,Security,Encryption,Hashing,Argon2 vs BCrypt (Salt, Cost, Memory hard)
3,OS Internals,Linux,Filesystem,Inodes, File Descriptors, and Page Cache
3,OS Internals,Linux,Memory,Virtual Memory, Pages, and TLB (Translation Lookaside Buffer)
3,OS Internals,Linux,Memory,The OOM Killer (Out of Memory) and Score
3,OS Internals,Linux,I/O,Standard I/O vs Direct I/O vs AIO
3,OS Internals,Linux,Syscalls,Context Switching: User Space to Kernel Space
3,Search,ElasticSearch,Architecture,Shards, Replicas, and the Lucene Index
3,Search,ElasticSearch,Internals,Inverted Index and Term Frequency (TF-IDF)
3,Search,ElasticSearch,Internals,Segment Merging and Search visibility
3,Search,ElasticSearch,Mapping,Dynamic Mapping vs Explicit Mapping
3,Observability,Tracing,OpenTelemetry,Spans, Context Injection, and Propagation
3,Observability,Metrics,Prometheus,Counter vs Gauge vs Histogram vs Summary
3,Observability,Logs,Structured,ELK/Splunk: Indexing strategies for logs
3,Observability,SLI/SLO,Definitions,Error Budget and Burn Rates
3,HFT / Performance,Latency,Interrupts,Context Switching cost and CPU Cache Misses
3,HFT / Performance,Latency,Networking,Kernel Bypass (DPDK / RDMA)
3,HFT / Performance,Latency,Architecture,Mechanical Sympathy: Designing for CPU L1/L2 Cache
3,HFT / Performance,Protocols,WebSockets,Handshake Upgrade and Binary Framing
3,Architecture,Patterns,SOLID,Dependency Inversion vs Dependency Injection
3,Architecture,Patterns,DDD,Bounded Contexts and Ubiquitous Language
3,Architecture,Patterns,Microservices,Saga Pattern (Choreography vs Orchestration)
3,Architecture,Patterns,Microservices,CQRS (Command Query Responsibility Segregation)
3,Architecture,Patterns,Microservices,Event Sourcing and Replaying Streams
